id,score_phrase,title,platform,score,
10409,Okay,Rolling Thunder 2,Genesis,6.5,
10410,Okay,Rolling Thunder 2,Wii,6.5,
10411,Okay,Dance Dance Revolution: Disney Channel Edition (Game Only Edition),PlayStation 2,6.5,
10412,Okay,Dance Dance Revolution: Disney Channel Edition (Game & Dance Pad),PlayStation 2,6.5,
10413,Great,Warhawk -- Operation: Omega Dawn,PlayStation 3,8,
10414,Good,Brain Challenge,Nintendo DS,7.5,
10415,Mediocre,Black Belt,Master System,5,
10416,Good,Dead Rising [Mobile],Wireless,7.3,
10417,Bad,NCAA March Madness 08,PlayStation 2,4.9,
10418,Bad,Luxor: Pharaoh's Challenge,PlayStation Portable,4,
10419,Good,Petz: Hamsterz 2,Nintendo DS,7.5,
10420,Awful,Last Battle,Genesis,3,
10421,Bad,NFL Tour,Xbox 360,4.7,
10422,Bad,Baby Pals,Nintendo DS,4,
10423,Good,Elements of Destruction,Nintendo DS,7,
10424,Bad,Tron,Xbox 360,4.9,
10425,Awful,The Golden Compass,PlayStation 3,3.5,
10426,Awful,The Golden Compass,Wii,3.5,
10427,Mediocre,Double Dribble,NES,5,
10428,Mediocre,Double Dribble,Wii,5,
10429,Bad,Alvin and the Chipmunks,Nintendo DS,4.5,
10430,Awful,The Golden Compass,Xbox 360,3.5,
10431,Awful,The Golden Compass,PlayStation 2,3.5,
10432,Awful,Game Party,Wii,3.2,
10433,Awful,Mountain Bike Adrenaline,PlayStation 2,3,
10434,Bad,Next Life,PC,4.5,
10435,Great,SimCity Societies,Wireless,8,
10436,Mediocre,Impossible Mission,Nintendo DS,5.5,
10437,Good,GripShift,Xbox 360,7,
10438,Mediocre,Are You Smarter Than a 5th Grader?,Nintendo DS,5,
10439,Mediocre,Frogger Launch,Wireless,5.5,
10440,Good,Jewel Quest Expedition,Nintendo DS,7.2,
10441,Good,NCAA March Madness 08,Xbox 360,7.4,
10442,Okay,Bee Movie Game,Wii,6.8,
10443,Good,Pokemon Snap,Wii,7.5,
10444,Great,The Orange Box,PlayStation 3,8.4,
10445,Mediocre,Arkadian Warriors,Xbox 360,5.7,
10446,Good,Avencast: Rise of the Mage,PC,7,
10447,Great,Dragon Ball Z: Budokai Tenkaichi 3,Wii,8,
10448,Great,Dragon Ball Z: Budokai Tenkaichi 3,PlayStation 2,8,
10449,Awful,Hot Wheels: Beat That!,PC,3.5,
10450,Bad,Disney Princess: Enchanted Journey,Wii,4,
10451,Good,Mario & Sonic at the Olympic Games,Nintendo DS,7.8,
10452,Good,Star Wars: The Empire Strikes Back,Wireless,7,
10453,Painful,ATV: Thunder Ridge Riders / Monster Truck DS,Nintendo DS,2,
10454,Good,No More Heroes,Wii,7.8,
10455,Great,Endless Ocean,Wii,8,
10456,Mediocre,Top Chef Challenge,Wireless,5,
10457,Okay,Alien Storm,Genesis,6.5,
10458,Okay,Ghosts 'N Goblins,NES,6,
10459,Okay,Ghosts 'N Goblins,Wii,6,
10460,Good,Shadowgrounds Survivor,PC,7.6,
10461,Great,Rez HD,Xbox 360,8.6,
10462,Good,Block Breaker Deluxe,iPod,7.5,
10463,Great,Advance Wars: Days of Ruin,Nintendo DS,8.6,
10464,Great,Dreadnaught Factor,Atari 5200,8,
10465,Good,Resident Evil: Genesis,Wireless,7.8,
10466,Good,Ape Quest,PlayStation Portable,7,
10467,Unbearable,Deal or No Deal,Nintendo DS,1.5,
10468,Good,Yu-Gi-Oh! World Championship 2008,Nintendo DS,7.5,
10469,Bad,Jackass: The Game,Nintendo DS,4,
10470,Great,BurgerTime Delight,Wireless,8,
10471,Good,Taito Legends 2,PC,7.5,
10472,Mediocre,Pole Position Remix,iPod,5,
10473,Great,1080° Snowboarding,Wii,8.5,
10474,Great,PixelJunk Monsters,PlayStation 3,8.5,
10475,Okay,Light Crusader,Genesis,6.5,
10476,Unbearable,Jenga: World Tour,Wii,1.7,
10477,Great,Baseball Stars 2,Wii,8,
10478,Great,Baseball Stars 2,NeoGeo,8,
10479,Mediocre,Samurai Warriors Katana,Wii,5.8,
10480,Awful,American Girl: Julie Finds A Way,Nintendo DS,3.5,
10481,Mediocre,Barbie as The Island Princess,Nintendo DS,5.5,
10482,Awful,Ultimate Board Game Collection,Wii,3.5,
10483,Bad,Barbie as The Island Princess,PlayStation 2,4,
10484,Okay,Light Crusader,Wii,6.5,
10485,Good,Dance Dance Revolution: Hottest Party,Wii,7,
10486,Bad,Miami Nights: Singles in the City,Nintendo DS,4,
10487,Okay,Warriors of The Lost Empire,PlayStation Portable,6.8,
10488,Good,Battle for the White House,Wireless,7.8,
10489,Amazing,Alex Kidd in Miracle World,Master System,9,
10490,Good,Monster Lair,Wii,7.5,
10491,Good,Monster Lair,TurboGrafx-CD,7.5,
10492,Great,Pursuit Force: Extreme Justice,PlayStation Portable,8,
10493,Okay,One Piece: Unlimited Adventure,Wii,6.8,
10494,Awful,Clue / Mouse Trap / Perfection / Aggravation,Nintendo DS,3.5,
10495,Mediocre,Yu-Gi-Oh! GX: The Beginning of Destiny,PlayStation 2,5.5,
10496,Okay,Nitrobike,Wii,6.5,
10497,Okay,SpongeBob SquarePants: Atlantis Treasures,Wireless,6,
10498,Okay,Alien Storm,Wii,6.5,
10499,Bad,Disney Princess: Enchanted Journey,Wii,4,
10500,Good,Atelier Iris 2 ~The Azoth of Destiny~,PlayStation 2,7.5,
10501,Mediocre,Winter Sports: The Ultimate Challenge 2008,Wii,5.5,
10502,Good,Blades of Steel,NES,7.5,
10503,Okay,Jewel Master,Genesis,6,
10504,Mediocre,Indianapolis 500 Legends,Nintendo DS,5,
10505,Okay,Culdcept Saga,Xbox 360,6.5,
10506,Good,Blades of Steel,Wii,7.5,
10507,Great,Out of This World,Genesis,8.5,
10508,Good,Zoo Tycoon 2 DS,Nintendo DS,7,
10509,Great,Devil May Cry 4,PlayStation 3,8.7,
10510,Great,Devil May Cry 4,Xbox 360,8.7,
10511,Great,Twisted Metal: Head-On: Extra Twisted Edition,PlayStation 2,8.4,
10512,Good,Kenseiden,Master System,7,
10513,Good,Penumbra: Black Plague,PC,7.7,
10514,Bad,Barbie as The Island Princess,PC,4,
10515,Good,Turok,Xbox 360,7.3,
10516,Great,Metal Gear,Wireless,8,
10517,Okay,Chessmaster Live,Xbox 360,6.4,
10518,Good,Top Hunter: Roddy & Cathy,Wii,7,
10519,Good,Turok,PlayStation 3,7,
10520,Bad,CSI: Crime Scene Investigation: Dark Motives,Nintendo DS,4.8,
10521,Great,Mountain King,Atari 5200,8,
10522,Mediocre,Battlestar Galactica,PC,5.1,
10523,Bad,Counter Force,Wii,4,
10524,Good,Carol Vorderman's Sudoku,PC,7.8,
10525,Bad,"Warhammer 40,000: Squad Command",Nintendo DS,4.5,
10526,Awful,Rock 'N' Roll Adventures,Wii,3,
10527,Great,Rock Band (Special Edition),PlayStation 2,8.4,
10528,Okay,NiGHTS: Journey of Dreams,Wii,6.5,
10529,Great,The King of Fighters XI,PlayStation 2,8,
10530,Mediocre,Cranium Kabookii,Wii,5.5,
10531,Mediocre,Left Brain Right Brain,Nintendo DS,5,
10532,Good,Shrek: Ogres and Dronkeys,Nintendo DS,7,
10533,Good,MX vs. ATV Untamed,Nintendo DS,7,
10534,Good,MX vs. ATV Untamed,Xbox 360,7.4,
10535,Mediocre,Dance Dance Revolution Universe 2,Xbox 360,5.7,
10536,Good,MX vs. ATV Untamed,PlayStation 3,7.4,
10537,Great,Brain Challenge,iPod,8,
10538,Bad,Spelling Challenges and More!,PlayStation Portable,4.5,
10539,Bad,Napoleon Dynamite: The Game,PlayStation Portable,4.5,
10540,Mediocre,Code Lyoko: Quest for Infinity,Wii,5.5,
10541,Great,Universe at War: Earth Assault,PC,8,
10542,Okay,My Word Coach,Wii,6.8,
10543,Painful,Billy the Wizard: Rocket Broomstick Racing,Wii,2,
10544,Good,My Word Coach,Nintendo DS,7.2,
10545,Mediocre,Ecco Jr.,Genesis,5.5,
10546,Good,TeamUp,Wireless,7.4,
10547,Mediocre,Ecco Jr.,Wii,5.5,
10548,Amazing,Unreal Tournament III,PlayStation 3,9,
10549,Mediocre,Rayman Raving Rabbids 2,Nintendo DS,5,
10550,Great,Devil May Cry 4 (Collector's Edition),PlayStation 3,8.7,
10551,Great,NitroStreet Racing,Wireless,8,
10552,Great,Devil May Cry 4 (Collector's Edition),Xbox 360,8.7,
10553,Painful,Crazy Frog Arcade Racer,PlayStation 2,2.5,
10554,Amazing,Mobile Battles: Reign of Swords,Wireless,9,
10555,Great,Savage 2: A Tortured Soul,PC,8.3,
10556,Good,Poker Smash,Xbox 360,7.5,
10557,Great,Lost Odyssey,Xbox 360,8.2,
10558,Great,Adventures of Lolo 2,NES,8,
10559,Great,Out of This World,PC,8.5,
10560,Good,Assassin's Creed: Altair's Chronicles,Nintendo DS,7,
10561,Okay,Nobunaga's Ambition: Rise to Power,PlayStation 2,6.5,
10562,Unbearable,Monster Trux Arenas -- Special Edition,Wii,1,
10563,Great,Adventures of Lolo 2,Wii,8,
10564,Great,Downstream Panic!,PlayStation Portable,8.3,
10565,Good,"Konami Kids Playground: Frogger Hop, Skip & Jumpin' Fun",PlayStation 2,7,
10566,Great,24: Special Ops,Wireless,8,
10567,Okay,Bomberman Land,PlayStation Portable,6.9,
10568,Mediocre,Dancing With The Stars,Wii,5.7,
10569,Bad,Godzilla: Unleashed,Wii,4.9,
10570,Good,Konami Kids Playground: Toy Pals Fun with Numbers,PlayStation 2,7,
10571,Good,Konami Kids Playground: Alphabet Circus,PlayStation 2,7,
10572,Good,Konami Kids Playground: Dinosaur Shapes and Colors,PlayStation 2,7,
10573,Mediocre,Dancing With The Stars (Game Only Edition),PlayStation 2,5.7,
10574,Good,The Sims 2: Castaway Stories,PC,7.3,
10575,Okay,Winter Sports: The Ultimate Challenge 2008,PlayStation 2,6,
10576,Mediocre,SunAge,PC,5.2,
10577,Painful,Operation Wolf,Wii,2,
10578,Painful,Operation Wolf,NES,2,
10579,Great,WipEout Pulse,PlayStation Portable,8.8,
10580,Okay,Buzz! Junior: Robo Jam (Game Only Edition),PlayStation 2,6.5,
10581,Good,Bomberman Land,Wii,7.2,
10582,Great,Pirates of the Burning Sea,PC,8.2,
10583,Bad,My Horse & Me,Nintendo DS,4.3,
10584,Awful,Discs of Tron,Xbox 360,3,
10585,Great,Harvest Moon,Wii,8.5,
10586,Great,Harvest Moon,Super NES,8.5,
10587,Amazing,Under a Killing Moon,PC,9,
10588,Good,The Spiderwick Chronicles,Nintendo DS,7.8,
10589,Okay,Karaoke Revolution Presents American Idol Encore (Game & Microphone),Wii,6,
10590,Good,Bomberman Land Touch! 2,Nintendo DS,7.9,
10591,Painful,World Championship Paintball,PlayStation 2,2,
10592,Awful,Go! Sports Skydiving,PlayStation 3,3,
10593,Bad,Riot Zone,Wii,4,
10594,Good,Romance of The Three Kingdoms XI,PlayStation 2,7,
10595,Okay,Rush Hour: Taxi Trouble,Wireless,6,
10596,Great,Karaoke Revolution Presents American Idol Encore (Game Only Edition),PlayStation 2,8.3,
10597,Great,Super Street Fighter II: The New Challengers,Wii,8,
10598,Okay,Karaoke Revolution Presents American Idol Encore (Game & Microphone),Xbox 360,6.3,
10599,Good,Raw Danger,PlayStation 2,7.5,
10600,Amazing,Patapon,PlayStation Portable,9.2,
10601,Great,Sins of a Solar Empire,PC,8.9,
10602,Mediocre,Dynasty Warriors 6,PlayStation 3,5.9,
10603,Okay,Dungeon Explorer: Warriors of Ancient Arts,Nintendo DS,6,
10604,Mediocre,Dark Messiah of Might and Magic Elements,Xbox 360,5.7,
10605,Okay,Dungeon Explorer:  Warriors of Ancient Arts,PlayStation Portable,6,
10606,Great,Merv Griffin's Crosswords,Wireless,8,
10607,Awful,Myth Makers: Super Kart GP,Wii,3.5,
10608,Great,Buzz!: The Hollywood Quiz,PlayStation 2,8.3,
10609,Okay,Luxor: Pharaoh's Challenge,Nintendo DS,6.8,
10610,Good,Harry Potter: Mastering Magic,Wireless,7,
10611,Mediocre,Rainbow Islands Evolution,PlayStation Portable,5,
10612,Okay,Puzzle Guzzle,PlayStation Portable,6.7,
10613,Okay,The Experiment,PC,6.8,
10614,Painful,Homie Rollerz,Nintendo DS,2,
10615,Bad,Balloon Pop,Wii,4.7,
10616,Mediocre,Lost: Via Domus,Xbox 360,5.5,
10617,Mediocre,FIFA Street 3,Nintendo DS,5.8,
10618,Good,Space Monkey,Wireless,7.7,
10619,Mediocre,Turning Point: Fall of Liberty,Xbox 360,5,
10620,Mediocre,Lost: Via Domus,PlayStation 3,5.5,
10621,Okay,Petz: Catz 2,Wii,6,
10622,Okay,Clockwork Knight,Saturn,6,
10623,Good,The Spiderwick Chronicles,Xbox 360,7.6,
10624,Okay,Petz: Catz 2,PC,6,
10625,Good,The Spiderwick Chronicles,PlayStation 2,7,
10626,Great,Professor Layton and the Curious Village,Nintendo DS,8,
10627,Good,The Spiderwick Chronicles,Wii,7.5,
10628,Painful,Paws & Claws: Pet Resort,Nintendo DS,2.5,
10629,Good,Rail Simulator,PC,7,
10630,Bad,Conflict: Denied Ops,PC,4,
10631,Good,Frontlines: Fuel of War,Xbox 360,7.6,
10632,Good,Kirby 64: The Crystal Shards,Wii,7.5,
10633,Okay,The Club,Xbox 360,6.9,
10634,Mediocre,Need for Speed ProStreet,PlayStation Portable,5,
10635,Great,MLB 08: The Show,PlayStation 2,8,
10636,Unbearable,Kidz Sports: International Soccer,Wii,1,
10637,Mediocre,Lost: Via Domus,PC,5.5,
10638,Great,Bully: Scholarship Edition,Wii,8,
10639,Bad,Agatha Christie: And Then There Were None,Wii,4.9,
10640,Good,Strider [1989],Genesis,7.5,
10641,Good,MX vs. ATV Untamed,Wii,7,
10642,Bad,Turok,Wireless,4.5,
10643,Mediocre,Turning Point: Fall of Liberty Collector's Edition,Xbox 360,5,
10644,Okay,SEGA Bass Fishing [2008],Wii,6,
10645,Great,Audiosurf,PC,8.6,
10646,Okay,Sam & Max: Season Two -- Episode #3: Night of the Raving Dead,PC,6.8,
10647,Bad,Mega Brain Boost,Nintendo DS,4.5,
10648,Painful,Myth Makers: Orbs of Doom,Wii,2.9,
10649,Painful,Spy Games: Elevator Mission,Wii,2.5,
10650,Mediocre,Columns III: Revenge of Columns,Genesis,5.5,
10651,Good,SingStar '90s,PlayStation 2,7.5,
10652,Okay,Petz: Catz 2,PlayStation 2,6,
10653,Mediocre,Columns III: Revenge of Columns,Wii,5.5,
10654,Good,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,7,
10655,Good,Commanders: Attack of the Genos,Xbox 360,7.6,
10656,Okay,The Club,PlayStation 3,6.9,
10657,Great,N+,Xbox 360,8.5,
10658,Bad,The History Channel: Battle For the Pacific,PlayStation 3,4.5,
10659,Great,The King of Fighters '94,Wii,8,
10660,Good,The Spiderwick Chronicles,PC,7.5,
10661,Great,Apollo Justice: Ace Attorney,Nintendo DS,8.3,
10662,Good,Pet Pals: Animal Doctor,Nintendo DS,7,
10663,Unbearable,London Taxi: Rush Hour,Wii,1,
10664,Great,Bully: Scholarship Edition,Xbox 360,8.7,
10665,Good,Brain Assist,Nintendo DS,7,
10666,Okay,The Club,PC,6.9,
10667,Awful,Jumper: Griffin's Story,PlayStation 2,3.7,
10668,Great,MLB 08: The Show,PlayStation 3,8.7,
10669,Mediocre,Turning Point: Fall of Liberty,PC,5,
10670,Good,Disney Friends,Nintendo DS,7,
10671,Mediocre,The New Zealand Story Revolution,Nintendo DS,5.6,
10672,Mediocre,Bubble Bobble Double Shot,Nintendo DS,5.9,
10673,Mediocre,Rocketmen: Axis of Evil,PlayStation 3,5.5,
10674,Okay,Major League Baseball 2K8,Wii,6.5,
10675,Mediocre,Blokus Portable: Steambot Championship,PlayStation Portable,5,
10676,Unbearable,Kidz Sports: Basketball,Wii,1,
10677,Awful,Puppy Palace,Nintendo DS,3,
10678,Good,Frontlines: Fuel of War,PC,7.8,
10679,Great,The Sims 2: FreeTime (Limited Edition),PC,8.3,
10680,Unbearable,Kidz Sports: Ice Hockey,Wii,1,
10681,Great,Naval Battle,iPod,8.5,
10682,Good,Art of Fighting Anthology,PlayStation 2,7,
10683,Great,Phantasy Star II,Wii,8,
10684,Bad,Conflict: Denied Ops,Xbox 360,4,
10685,Bad,Conflict: Denied Ops,PlayStation 3,4,
10686,Great,Phantasy Star II,Genesis,8,
10687,Okay,FIFA Street 3,Xbox 360,6.7,
10688,Awful,Jumper: Griffin's Story,Wii,3.9,
10689,Okay,Chessmaster: The Art of Learning,PlayStation Portable,6.6,
10690,Okay,Atelier Iris 3 ~Grand Phantasm~,PlayStation 2,6,
10691,Great,Ninja Gaiden III: The Ancient Ship of Doom,NES,8,
10692,Great,Call of Duty 3 (Platinum Hits),Xbox 360,8.8,
10693,Great,Ninja Gaiden III: The Ancient Ship of Doom,Wii,8,
10694,Mediocre,Turning Point: Fall of Liberty,PlayStation 3,5,
10695,Good,Petz: Wild Animals -- Tigerz,Nintendo DS,7.7,
10696,Mediocre,Rocketmen: Axis of Evil,Xbox 360,5.7,
10697,Great,Final Fantasy Crystal Chronicles: Ring of Fates,Nintendo DS,8.2,
10698,Amazing,Super Smash Bros. Brawl,Wii,9.5,
10699,Great,Lords of Thunder,TurboGrafx-CD,8.5,
10700,Good,Major League Baseball 2K8,Xbox 360,7.4,
10701,Good,Army of Two,PlayStation 3,7.9,
10702,Good,Naruto: Ninja Destiny,Nintendo DS,7.2,
10703,Great,The Sims 2: FreeTime,PC,8.3,
10704,Great,Grey's Anatomy,Wireless,8,
10705,Mediocre,Lost Planet: Extreme Condition,PlayStation 3,5.5,
10706,Bad,Jumper: Griffin's Story,Xbox 360,4.9,
10707,Mediocre,Triggerheart Exelica,Xbox 360,5.7,
10708,Okay,FIFA Street 3,PlayStation 3,6.7,
10709,Amazing,God of War: Chains of Olympus,PlayStation Portable,9.4,
10710,Awful,Rig Racer 2,Wii,3,
10711,Okay,Dynasty Warriors 6,Xbox 360,6,
10712,Awful,The History Channel: Lost Worlds,PC,3,
10713,Good,"Go, Diego, Go! Safari Rescue",Wii,7.1,
10714,Good,Army of Two,Xbox 360,7.9,
10715,Good,Major League Baseball 2K8,PlayStation 2,7,
10716,Good,Major League Baseball 2K8,PlayStation 3,7.2,
10717,Okay,Iridium Runners,PlayStation 2,6.5,
10718,Okay,Mystery Dungeon: Shiren the Wanderer,Nintendo DS,6.5,
10719,Great,Lords of Thunder,Wii,8.5,
10720,Good,SWAT Elite Troops,Wireless,7.9,
10721,Good,flOw,PlayStation Portable,7.3,
10722,Painful,M&M's Kart Racing,Wii,2.5,
10723,Awful,Time Traveler,Arcade,3,
10724,Okay,Puzzle Guzzle,PlayStation Portable,6.7,
10725,Great,Pinball Hall of Fame: The Williams Collection,PlayStation 2,8,
10726,Mediocre,Toy Home Expansion Pack,PlayStation 3,5,
10727,Good,"Warhammer 40,000: Dawn of War -- Soulstorm",PC,7,
10728,Awful,Chicken Hunter,Nintendo DS,3.5,
10729,Painful,Classic British Motor Racing,Wii,2.1,
10730,Good,Worms: A Space Oddity,Wii,7,
10731,Good,FlatOut: Head On,PlayStation Portable,7.7,
10732,Great,Sam & Max: Season Two -- Episode #4: Chariot of the Dogs,PC,8.3,
10733,Mediocre,Eco-Creatures: Save the Forest,Nintendo DS,5.5,
10734,Awful,Bliss Island,Xbox 360,3.5,
10735,Great,Tom Clancy's Rainbow Six: Vegas 2,Xbox 360,8.4,
10736,Good,Barnyard Blast: Swine of the Night,Nintendo DS,7.2,
10737,Great,Tom Clancy's Rainbow Six: Vegas 2 (Limited Edition),Xbox 360,8.4,
10738,Bad,The Spiderwick Chronicles,Wireless,4,
10739,Good,Dark Sector,Xbox 360,7.7,
10740,Good,Obscure: The Aftermath,Wii,7,
10741,Okay,Obscure: The Aftermath,PC,6.3,
10742,Good,Obscure: The Aftermath,PlayStation 2,7.5,
10743,Okay,AGEOD's American Civil War: 1861-1865 -- The Blue and the Gray,PC,6.2,
10744,Good,Insecticide,Nintendo DS,7,
10745,Mediocre,Destroy All Humans! Big Willy Unleashed,Wii,5.8,
10746,Okay,Major League Baseball 2K8,PlayStation Portable,6.9,
10747,Good,Brain Challenge,Xbox 360,7.2,
10748,Great,Hot Shots Golf: Out of Bounds,PlayStation 3,8.9,
10749,Okay,Ninja Reflex,Wii,6,
10750,Great,Condemned 2: Bloodshot,Xbox 360,8,
10751,Okay,SEGA Superstars Tennis,Wii,6.2,
10752,Great,Super Turrican,Wii,8.5,
10753,Great,Pro Evolution Soccer 2008,PlayStation Portable,8.3,
10754,Great,Tom Clancy's Rainbow Six: Vegas 2,PlayStation 3,8.2,
10755,Great,Tom Clancy's Rainbow Six: Vegas 2 (Limited Edition),PlayStation 3,8.2,
10756,Okay,SEGA Superstars Tennis,Nintendo DS,6.9,
10757,Great,Crisis Core: Final Fantasy VII,PlayStation Portable,8.5,
10758,Great,Puyo Puyo 2: Tsuu,Wii,8,
10759,Great,Popeye,Wireless,8.5,
10760,Good,Dark Sector,PlayStation 3,7.7,
10761,Great,Metal Gear Solid Mobile,Wireless,8,
10762,Okay,Viking: Battle for Asgard,PlayStation 3,6.3,
10763,Painful,Spelunker,Wii,2.5,
10764,Okay,Imperium Romanum,PC,6,
10765,Okay,Viking: Battle for Asgard,Xbox 360,6.5,
10766,Okay,Ratchet & Clank: Size Matters,PlayStation 2,6,
10767,Mediocre,Psychosis,Wii,5,
10768,Okay,The House of the Dead 2 & 3 Return,Wii,6,
10769,Okay,Ninja Reflex,Nintendo DS,6,
10770,Good,"Go, Diego, Go! Safari Rescue",PlayStation 2,7.4,
10771,Good,DoReMi Fantasy: Milon's DokiDoki Adventure,Wii,7.5,
10772,Great,Ninja Gaiden: Dragon Sword,Nintendo DS,8.6,
10773,Painful,Best of Tests DS,Nintendo DS,2,
10774,Bad,Command & Destroy,Nintendo DS,4,
10775,Great,Pro Evolution Soccer 2008,Xbox 360,8.6,
10776,Good,Silent Hill Origins,PlayStation 2,7,
10777,Mediocre,World Heroes Anthology,PlayStation 2,5.3,
10778,Good,Ghost Manor,Atari 2600,7.5,
10779,Okay,Innocent Life: A Futuristic Harvest Moon -- Special Edition,PlayStation 2,6,
10780,Okay,Warriors Orochi,PlayStation Portable,6.5,
10781,Good,The Lost Crown: A Ghost-hunting Adventure,PC,7,
10782,Good,ANNO 1701: Dawn of Discovery,Nintendo DS,7.5,
10783,Good,Naruto: Ultimate Ninja 3,PlayStation 2,7.6,
10784,Bad,My Horse & Me,Wii,4.5,
10785,Great,Condemned 2: Bloodshot,PlayStation 3,8,
10786,Great,Nanostray 2,Nintendo DS,8.1,
10787,Great,Pro Evolution Soccer 2008,Wii,8.6,
10788,Great,Pro Evolution Soccer 2008,PlayStation 3,8.6,
10789,Good,"Go, Diego, Go! Safari Rescue",Nintendo DS,7,
10790,Bad,Bratz: Super Babyz,Nintendo DS,4,
10791,Mediocre,Wild ARMs XF,PlayStation Portable,5.8,
10792,Great,Pinball Hall of Fame: The Williams Collection,Wii,8,
10793,Mediocre,Samurai Warriors 2: Xtreme Legends,PlayStation 2,5.3,
10794,Okay,SEGA Superstars Tennis,PlayStation 3,6.4,
10795,Great,Pro Evolution Soccer 2008,PlayStation 2,8.4,
10796,Great,Diamond Islands,Wireless,8,
10797,Okay,SEGA Superstars Tennis,Xbox 360,6.4,
10798,Okay,SEGA Superstars Tennis,PlayStation 2,6.4,
10799,Great,Metal Gear Solid: The Essential Collection,PlayStation 2,8.8,
10800,Good,The Sims 2: Castaway,Wireless,7,
10801,Painful,Kawasaki Quad Bikes,Wii,2,
10802,Good,Petz: Bunnyz,Nintendo DS,7,
10803,Okay,Yoshi's Cookie,Wii,6,
10804,Painful,George of the Jungle and the Search for the Secret,Wii,2.9,
10805,Amazing,Ikaruga,Xbox 360,9,
10806,Good,Spandex Force,PC,7.5,
10807,Painful,Kawasaki Jet Ski,Wii,2,
10808,Great,Blastdown!,Wireless,8,
10809,Mediocre,Dynamite Duke,Genesis,5,
10810,Okay,Backyard Baseball '09,Nintendo DS,6,
10811,Mediocre,Lost in Blue 3,Nintendo DS,5.5,
10812,Great,Arcana Heart,PlayStation 2,8.3,
10813,Okay,Opoona,Wii,6.8,
10814,Okay,Universe at War: Earth Assault,Xbox 360,6.3,
10815,Mediocre,Destroy All Humans! Crypto Does Vegas,Wireless,5,
10816,Mediocre,Pro Evolution Soccer 2008,Nintendo DS,5.5,
10817,Okay,Wonder Boy,Wii,6,
10818,Bad,Michael Jackson's Moonwalker,Genesis,4.5,
10819,Okay,Pac-Land,TurboGrafx-16,6.5,
10820,Mediocre,Fab 5 Soccer,Nintendo DS,5,
10821,Good,Mega Turrican,Wii,7.5,
10822,Okay,Panzer Command: Kharkov,PC,6.7,
10823,Good,Mega Turrican,Genesis,7.5,
10824,Mediocre,Lost Cities,Xbox 360,5.5,
10825,Great,Shin Megami Tensei: Persona 3 FES,PlayStation 2,8.8,
10826,Mediocre,Harvest Moon DS Cute,Nintendo DS,5.8,
10827,Painful,Let's Ride! Friends Forever,Nintendo DS,2,
10828,Bad,Cruis'n USA,Wii,4,
10829,Okay,Karaoke Revolution Presents American Idol Encore (Game & Microphone),PlayStation 3,6.3,
10830,Great,El Tigre: The Adventures of Manny Rivera,PlayStation 2,8,
10831,Awful,M&M's Kart Racing,Nintendo DS,3,
10832,Painful,Mr. Driller Online,Xbox 360,2.8,
10833,Great,Legendary Axe,TurboGrafx-16,8,
10834,Awful,World Championship Cards,PlayStation 2,3.2,
10835,Okay,Great War Nations: The Spartans,PC,6,
10836,Masterpiece,Grand Theft Auto IV (Special Edition),Xbox 360,10,
10837,Bad,Summer Sports: Paradise Island,Wii,4.4,
10838,Masterpiece,Grand Theft Auto IV (Special Edition),PlayStation 3,10,
10839,Good,Jack Keane,PC,7.5,
10840,Great,Pinball Hall of Fame: The Williams Collection,PlayStation Portable,8,
10841,Okay,Super R-Type,Wii,6.5,
10842,Okay,GoPets: Vacation Island,Nintendo DS,6,
10843,Okay,Rhem 3,PC,6.5,
10844,Great,Go Go Ackman 3,Super NES,8.2,
10845,Good,Law & Order: Celebrity Betrayal,Wireless,7.5,
10846,Good,Matchmaker: Love U,Wireless,7.5,
10847,Good,HurryDate's SpeedDaters,Wireless,7,
10848,Awful,Furu Furu Park,Wii,3.5,
10849,Okay,Rondo of Swords,Nintendo DS,6.8,
10850,Okay,Pokemon Mystery Dungeon: Explorers of Time,Nintendo DS,6.5,
10851,Okay,Pokemon Mystery Dungeon: Explorers of Darkness,Nintendo DS,6.5,
10852,Amazing,River City Ransom,Wii,9,
10853,Unbearable,Fantasy Aquarium,Nintendo DS,1,
10854,Good,Tom Clancy's Rainbow Six: Vegas 2,PC,7.7,
10855,Good,Fatal Fury: Battle Archives Volume 2,PlayStation 2,7,
10856,Okay,NBA Ballers: Chosen One,PlayStation 3,6,
10857,Mediocre,Magic Online III,PC,5.5,
10858,Bad,Bases Loaded,NES,4.5,
10859,Okay,Teenage Zombies: Invasion of the Alien Brain Thingys!,Nintendo DS,6.8,
10860,Okay,Battlezone,Xbox 360,6,
10861,Amazing,The World Ends with You,Nintendo DS,9,
10862,Okay,Ninja Reflex: Steamworks Edition,PC,6,
10863,Great,Ego,Wireless,8.9,
10864,Bad,Double Sequence,Nintendo DS,4,
10865,Mediocre,Mana Khemia: Alchemists of Al-Revis,PlayStation 2,5.7,
10866,Mediocre,Tetris Blockout,Wireless,5.5,
10867,Good,Double Dragon,Wii,7.5,
10868,Okay,Yahtzee Adventures,Wireless,6.5,
10869,Good,Double Dragon,NES,7.5,
10870,Mediocre,Baroque,Wii,5.4,
10871,Bad,MiniCopter: Adventure Flight,Wii,4,
10872,Okay,SNK Arcade Classics: Volume 1,PlayStation 2,6.7,
10873,Awful,Cory in the House,Nintendo DS,3,
